"CreditMemo No","Invoice Number","Return Date","Seller Sku","Product Name"
"R-AZ-00079-2019-EU","AZ-08002-2018-EU","2019-01-11 13:08:22","KVR1333D3N9-4","Kingston KVR1333D3N9/4 G 4096MB DDR3 DIMM PC3-10600, A"
"R-AZ-00080-2019-EU","AZ-00345-2019-EU","2019-01-11 13:24:29","KVR13S9S6-2G","Kingston KVR13S9S6/2 Memoria RAM da 2 GB, 1333 MHz, DDR3, Non-ECC CL9 SODIMM, 204-pin, 1.5 V"
"R-AZ-00081-2019-EU","AZ-00049-2019-EU","2019-01-11 15:50:06","SGK-3040-KKMF1-IT","Cooler Master Masterkeys LITE L Tastiera, Nero"
"R-AZ-00082-2019-EU","AZ-08198-2018-EU","2019-01-12 08:39:45","BK-6EEZ-WJYP","Cooler Master SGS-4140-KXXL1 Swift-RX Mouse Pad, Black, X-Large"
"R-AZ-00083-2019-EU","AZ-08124-2018-EU","2019-01-12 09:37:53","10-KO5C-JEVD","Western Digital Blue 500 GB Laptop Hard Disk Drive (5400 RPM, SATA 6 Gb/s, 2.5 inch) - Component Boxed"
"R-AZ-00084-2019-EU","AZ-04486-2018-EU","2019-01-13 23:38:17","KVR667D2S5-2G","Kingston KVR(677D2S5/2G - Memoria RAM de 2 GB (677 MHz DDR2 Non-ECC CL5 SODIMM, 200-pin, 1.8V)"
"R-AZ-00085-2019-EU","AZ-07653-2018-EU","2019-01-14 04:06:18","KVR800D2S6-2G","Kingston KVR800D2S6/2G - Memoria RAM de 2 GB DDR2, 800 MHz"
"R-AZ-00086-2019-EU","AZ-08528-2018-EU","2019-01-14 10:44:23","10-KO5C-JEVD","WD Blue 500 GB interne mobile Festplatte Slim Version 7 mm Höhe (6,35 cm (2,5 Zoll), 5400rpm, 8MB Cache, SATA) WD5000LPVX"
"R-AZ-00087-2019-EU","AZ-02567-2018-EU","2019-01-14 15:35:59","M471B5173DB0-YK0","Samsung M471B5173DB0-YK0 - Memoria RAM interna de 4 GB (1x4GB - DDR3, 1600 MHz) color verde"
"R-AZ-00088-2019-EU","AZ-00013-2019-EU","2019-01-14 20:48:48","4V-SC80-T3LC","Philips-Licht TORNADO ES 8YRT Energiesparlampe 8W E27 230V warmton-ws T2"
"R-AZ-00089-2019-EU","AZ-00548-2019-EU","2019-01-14 21:59:38","WD5000AAKX","WD Caviar Blue 500GB SATAIII 6Gb/s 16MB Cache 3.5 inch Internal Hard Drive OEM"
"R-AZ-00090-2019-EU","AZ-07741-2018-EU","2019-01-15 01:56:39","N5-W34Y-7EJL","Cooler Master Masterpulse Bianco con Bass FX Over-Ear Gaming Headset"
"R-AZ-00091-2019-EU","AZ-04479-2018-EU","2019-01-15 03:37:01","KVR800D2S6-2G","Kingston KVR800D2S6/2G - Memoria RAM de 2 GB DDR2, 800 MHz"
"R-AZ-00092-2019-EU","AZ-08533-2018-EU","2019-01-15 09:01:38","WD5000AVDS","Western Digital WD5000AVDS AV-GP 500 GB interne Festplatte (8,9 cm (3,5 Zoll), 7200rpm, 4,2ms, 32MB Cache, SATA)"
"R-AZ-00093-2019-EU","AZ-08318-2018-EU","2019-01-15 12:36:30","KVR1333D3S9/2G","Kingston KVR1333D3S9/2G - Memoria RAM 2 GB PC1333 (DDR3)"
"R-AZ-00094-2019-EU","AZ-08549-2018-EU","2019-01-15 17:10:28","KVR800D2S6-2G","Kingston Simm Memoria RAM, SO DDRII, PC800, 2GB, CL6, Nero"
"R-AZ-00095-2019-EU","AZ-08054-2018-EU","2019-01-15 21:17:00","HYNIX_4GB_12800","Hynix 4 GB PC3 - 12800 4 GB DDR3 1600 MHZ Modul Speicher- - Module Arbeitsspeicher (4 GB, DDR3, 1600 MHz, Laptop, 204-pin DIMM, 1 x 4 GB)"
"R-AZ-00096-2019-EU","AZ-08285-2018-EU","2019-01-16 03:20:28","ST950032AS","Seagate ST9500325AS Momentus 5400.6 HardDisk"
"R-AZ-00097-2019-EU","AZ-06651-2018-EU","2019-01-16 03:29:22","RO-V16N-9YTW","Cooler Master V650 Alimentatore  'Modulare, 80 Plus Gold, 650W' RS650-AFBAG1-EU"
"R-AZ-00098-2019-EU","AZ-07536-2018-EU","2019-01-16 04:30:31","HDS721010CLA632","Hitachi HDS721010CLA632 1000GB Serial ATA III disco rigido interno"
"R-AZ-00099-2019-EU","AZ-04937-2018-EU","2019-01-16 08:03:35","KVR1333D3S9/2G","Kingston Memoria RAM, 1333 MHz, DDR3, Non-ECC CL9 SODIMM, 204-pin, 1.5 V, 2 GB"
"R-AZ-00100-2019-EU","AZ-00070-2019-EU","2019-01-16 10:15:44","M8-FAVN-34Q4","Nanya 4 GB (1 x 4 GB) DDR3 1333 MHz (PC3 10600S portátil) So DIMM Memoria RAM Memory"
"R-AZ-00101-2019-EU","AZ-08354-2018-EU","2019-01-16 10:23:35","KVR13S9S8/4GB","Kingston KVR13S9S8/4 - Memoria RAM de 4 GB (1333 MHz, DDR3, Non-ECC, CL9, SODIMM 204-pin, 1.5 V)"
"R-AZ-00102-2019-EU","AZ-08151-2018-EU","2019-01-16 14:07:21","K0-7WX2-SND6","HOME Energiesparlampe Tornado 20 Watt dimmbar - Philips"
"R-AZ-00103-2019-EU","AZ-04573-2018-EU","2019-01-16 16:30:17","HMT351S6EFR8A-PB","Hynix HMT351S6EFR8A-PB 4GB DDR3 1600MHz memoria"
